ID,Item Name,Image,Category,Colour Name,Colour Family,Colour_is_neutral,Season,Fit,Style,BodyType,Lifestyle,Utility
B011,Pleated Wide Leg Trousers,B011.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/8II5hzdpfumzNAJPCgIL0w/_An_QK7r_cNZjjclNP40nn_WUGPnGkO-v8vlRHAtb5ex9XSnEvQWSeBg6kMMjl8uvPOvJyP0tPV7B-3N6WI5kVMY3BjHFApMBo0NsN9AfK5Tsc83pC7eo6tebP9Vogc_OQQKaCF3Jw58krS3FRg0vA/86CDlSbH4K9dd6KX7sxzxP-pwuzjaUYd0q1y6Aur24M),Bottom,Grey,Grey,True,All Season,Structured,"Classic,Chic,Romantic,Bohemian,Edgy,Streetstyle,Preppy,Glamorous","Hourglass,Pear,Rectangle,Inverted Triangle,Apple","Business Formal,Business Casual,Smart Casual",Basics
B012,Straight Leg Trousers,B012.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/MF6zQakn4m48e_kaHWJzdA/hD0KtKuO7ERpiMdMTXOyeyfRsuYJPtX1WYq1wZCSRPuqnZtQU9uDzT0VdFeCGFouzyxPN-C2pQdHut1LvLOtAqeEXd80k4qa2hiZKUECaoPHOMwLOATVMWyMvVP5neUbUdaa_74AM2vhjAvE6sALWg/soCctsnzoGOUvTljwUkVqEpmXF-ce8XZHBFtp6mnj8U),Bottom,Grey,Grey,True,All Season,Relaxed,"Classic,Streetstyle,Preppy,Contemporary","Pear,Rectangle,Apple","Smart Casual,Lounge","Basics,Versitile"
B013,Straight Leg Trousers,B013.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/ZJkDKut38DEQX_-q6358wQ/0Pr7D2xsHHY_Rmx73FCuRX1OM307zt8E22x7XzFWk0dx5PeBecEmY-vTThk6G5SVUkvI1J1CXp4jFGdzt0RzONQgoJkkKnWb2AeW4fbsec7c9pccVsq-dOC9gGiubQL3iTB6no3trUL8bFYD5-rU4Q/84LD-Xz-UxILYB1cEqSo8z-jqd6Sl3-upgryTNDB8zk),Bottom,Khaki,Brown,True,All Season,Structured,"Classic,Chic,Bohemian,Streetstyle,Preppy","Hourglass,Pear,Rectangle,Inverted Triangle,Apple","Business Formal,Business Casual,Smart Casual",Basics
B014,Tapered Trousers,B014.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/v5LfAmq3haHWcWAXDPKPyw/E-9ZZbf-LxtiT7moajpojI7L0nwZhSM4W1ZpblYHIgOKINRKmHs1_dvAp_sIDSUSpW4YUCLQOoFwOlHefojyFYPOWhPqqUTmssX5meAk7saED6D-hCpUiXb4ZmACDFDN_ZBYAfsG_GE_UKigM_VKpw/YNAJ7IE7N5eWWlszeiof8Pu_4o9o8szIF8A_jUSAPds),Bottom,Grey,Grey,True,All Season,Fitted ,"Classic,Chic,Romantic,Preppy","Hourglass,Pear,Rectangle,Apple","Business Formal,Business Casual",Basics
B015,Tapered Trousers,B015.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/SwVIs53u9ZIpYNc2DGoaoQ/Qk62SmoTxTNjyOwdGPMd5E1PSwSlsZyjHMw8ZzLo9KiEgiuWv8gRrwkjgDwThN7rckUv53BAEbBcFfL3CY4Ngnp3QiJs8TwLgKlYKimpVF2roI2rU3kshdxjpZciYK_41PnlCAZepjPLQwVcewN1PQ/7tDe97CQ6HDaIeobFooMHtJKjcIpB0OJ_RSKZ60mW48),Bottom,Brown,Brown,True,All Season,Fitted ,"Classic,Chic,Romantic,Bohemian,Preppy","Rectangle,Apple,Inverted Triangle","Business Formal,Business Casual,Smart Casual",Basics
B016,Tapered Trousers,B016.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/_66i7DWdVSa1wsPtBBIfCA/or9olCU8RAzi3eHYZcTdfCyfwOzxvhT8W5DY0QO0l2GiO0Yl4K6-NPWmIkcDHcZ8FitffrqW1iALLPfaCL4XB-o2vDfvipHkXXrpB4CRhVnHMLa18ybEdWPMeKZ7Zb2mjckehUSPFXRqUx5XyiKimw/L2Ct-BTUyVwXqfX_HrX2zJhv3_pVhGPpsjEpvvW9Ly4),Bottom,Cream,White,True,All Season,Fitted ,"Classic,Chic,Romantic,Bohemian,Preppy","Rectangle,Apple,Inverted Triangle","Business Formal,Business Casual,Smart Casual",Basics
B017,Tapered Trousers,B017.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/G0J7w3yaWTcOgP8Qa_naaA/Uzh_xRub5uz7a4WTTSaYPRiaeViZikZcJ2hOfeH850KaGNhARoz7cZu0Cj0H_XxfbIIxNO_Qvtg1E-1gs-sF-dBb59_6K-tzeTMYt5Lk4Qp_Y4KXWb_YliHfWZuXN8VjKU1piFPSnCpnRLQiO8Q4tA/25mZEC7lIinHkiL7zWKD0FqBwBVINU4Jb3LOJnDClJg),Bottom,Black,Black,True,All Season,Fitted ,"Classic,Chic,Romantic,Bohemian,Preppy","Rectangle,Apple,Inverted Triangle","Business Formal,Business Casual,Smart Casual",Basics
B018,Pleated Wide Leg Trousers,B018.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/iv6VAspyPXiMUSXSdRAIAg/vXFlVx8On9aXv3PNzUWDRO_GVex0NpDFsSNKQ8ZdLDqz1VQxY5eUjkVj1_agR9jYU89E5D_OVYvzkA5EZfJNkuh6EzdPlMLI3RQfihyPGpcj8g9-D8fOojTnK3b94_tG-b2G_Qy3nyL4ELnLTL9N8Q/3PR8o0yun8CGrSbf3DHAvmFQj578zyDGBSlZg24dFRw),Bottom,White,White,True,All Season,Structured,"Classic,Chic,Romantic,Bohemian,Edgy,Preppy,Glamorous","Hourglass,Pear,Rectangle,Inverted Triangle,Apple","Business Formal,Business Casual,Smart Casual,Social/ Trendy","Basics,Versitile"
B019,Linen Pants,B019.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/q5BxNfnwjQRGiCO8jJLq5g/Uai4JWsKezXfV5pIrG3SZroiu0fGXkCeePhx4myf78cKg6peyHKRFlY7d__jEpSQu0szCcP3-gArPVPVhQ-wm7BRUYBSPDpjwUUSdtWSobzg6lga_TNXad9J7LzXvOmpyhVhusZ-a7Vu2M5s0HQVdQ/n6J3ErOOnQsJDuhq0_quvyj0gx_0bB115Y42zNLgBzI),Bottom,Cream/ Beige,Beige,True,Summer,Relaxed,"Chic,Bohemian,Streetstyle,Contemporary","Hourglass,Pear,Rectangle,Inverted Triangle,Apple","Lounge,Smart Casual",Basics
B020,Linen Pants,B020.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/Vr3rNtlNKxR79QnSoz6L6g/JVhIriN9boFeoDaoNbguN8DF2sOw4URckJXjpT0Y5CNRiFlQeHti0ngirxI4m2PdE8eOFyCzCx-UyHTJqUd6bKsbe-z1ji0_YU-BrC_ggyi26o9mESJF7cI2ql7Hc--H-H0Xc81OuQfo-8QBAegpIg/DCUTHazJLKOP6lUxWnnPz9lIuG4gOr9QigSk9ob-bTg),Bottom,Black,Black,True,Summer,Relaxed,"Classic,Chic,Romantic,Bohemian,Edgy,Streetstyle,Glamorous","Rectangle,Pear,Hourglass","Lounge,Smart Casual",Basics
B021,Linen Pants,B021.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/IR7EhTu3L90iN64uaGEhMA/EXcMZRMWLJDHbIeXM9WX9VTpf3Ha5g5iuAU7IXUKmgOwECsxf5NjDzWgL3sBoVVYELsrkwgmMtYVGpxC5NbbJRjxjnmlBL2m6Z_sXIkHvPgR5bzbNTVEF2kOVutZ_mtLCenJiKS_9lvbv9srt3JStw/p8zJ5L4ttbpNAWSW7Q6YXyaHuBBCOXYAqSaJ_GEyohk),Bottom,Terracotta,Brown,False,Summer,Relaxed,"Classic,Chic,Romantic,Bohemian,Edgy,Streetstyle,Glamorous","Rectangle,Pear,Hourglass","Lounge,Smart Casual",Basics
B022,Linen Pants,B022.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/kfJHzBOaVCYcbzh5fOw9dg/spllJPehgH4SPR0Uy1xu97xGvNih39-H4KSrJJT__AJ5RApavfX5MHYlfLy7w9LAsV7BTf23TkP_An3pkXW88xFbaXOgkMdkzXTGoh5m1qKqnI1BZ76N2YJOGEQ2_oKjlnvN16fIumlbupRIkfY7YQ/G67M0aY4DClyjh3lrps1-PDQKVChX7lmor2XwBv_wqw),Bottom,Sage,Green,False,Summer,Relaxed,"Classic,Chic,Romantic,Bohemian,Edgy,Streetstyle,Glamorous","Rectangle,Pear,Hourglass,Inverted Triangle","Lounge,Smart Casual",Basics
B023,Linen Pants,B023.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/EN2GpNwvm8UGSAhEgs94og/2tMvf8D9urGuku3oHD3ZJMeDa9-XjydfoHY00gRWlVIhkcD5IVLoEAehMIugcOlcx4IhGlBz2GtSyfpEd0B2EyENVuFuYNZsrXAXBG83hFmK84yKkcoylqR0L8SzGliUO8ZlVKVrfB6NYQH51OMQsw/B_u-3PqGD9kC2U075gfTaiv0sIgHmKRslsyLdkmbjh4),Bottom,Vermillion,Red,False,Summer,Relaxed,"Classic,Chic,Romantic,Bohemian,Edgy,Streetstyle,Glamorous","Rectangle,Pear,Apple","Lounge,Smart Casual",Basics
B024,Printed Linen Pants,B024.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/_4wT4Dlxk0drgcQ9iq_I2Q/T1GWr5onyLQctHmf58_sL6OOiUwdi6wyuxD7NFyDxWg_KJribgUMiGDxmvxGCor6PDIqNxMuFw7kL-8qTxQ5x7gnrocY4WmQIRU4nigb6A5cLzped_HfMtds2E9cgTNm5Ih7JlzlvFFEEzHjez_FIw/OX4qy_H7KoAkxrHIRTH_Vqd4jWdKAPQpQqRDbIlg6B8),Bottom,White/ Brown,Brown,False,Summer,Relaxed,"Chic,Bohemian,Edgy,Streetstyle,Glamorous","Rectangle,Pear,Apple,Hourglass,Inverted Triangle","Lounge,Smart Casual",Statement
B025,Striped Linen Pants,B025.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/sF8s2jzpvLv0bOnhYgcEqA/tqwdBtiKGCiXP_ypnuyuNFxqJYC3mD3Z51C8JMTmgvaxanGdnhcsMtQE9oh7iHcbXFLMPtDcoicPUBq6uT8AsFpaQWULwLy_iM77DsgbpdvBkZQJ6x8AxKsJDRQuKds2oVDDIbNoZkJ5DaANvkVICA/rz39OuiD1Kc35D0eckvxAWcHx9LtWKDpgu4KYUEL2cc),Bottom,White/ Black,White,False,Summer,Relaxed,"Chic,Bohemian,Classic,Streetstyle,Contemporary","Rectangle,Pear,Apple,Hourglass,Inverted Triangle","Lounge,Smart Casual",Basics
B026,Embroidered Linen Pants,B026.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/jijohAMPtVci9CYJ-R-S5w/_NC4DchFLJ3ABLdxlALRMQmQsaEsnL_BDHZjnNyISPYMHpWhy_kWzT8hXGpg18aEGSTaePmeEWfcch1D4DXYNq8wYfq6uvFkxv8NEP6cWKMCz1L4QxF0-RVA4IHUwNdI6G2zykRUpGgvDYm07F0X5g/FWrmVTTOIdkhyCFmKCfSOYeOB3JVuglk4vAuwt6ifng),Bottom,Black/ White,Black,False,Summer,Relaxed,"Chic,Romantic,Bohemian,Edgy,Glamorous,Classic,Contemporary","Hourglass,Pear,Rectangle,Inverted Triangle,Apple","Lounge,Social/ Trendy,Smart Casual",Statement
B027,Printed Linen Pants,B027.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/-8LtV_3T5jZYu16MKVUfVg/JISWWBf4X0-xRapqAbHU0mHA9gzuj1B2y6n63tdpf7pVx3dt_jqg1y8seJru7EnSdfVmLO--A98Ep88OY9MAtjlC50iwhmJdF7sRh3-LtnqKJSm1zHXFjyU7yk-NfPHZip974k8n-1iUlLCC38lfDQ/kvi1XTr7xesUDk_3_uLfwatoyB8HI4zCpEDzgf-zSyo),Bottom,Blue/ White,Blue,False,Summer,Relaxed,"Chic,Romantic,Bohemian,Edgy,Contemporary","Pear,Rectangle,Apple",Lounge,Statement
B028,Checked Cigarette Pants,B028.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/fbMVi9fHzX0062nB7VKPww/DFbVstJrQrjVsT07RrsEHo9NdYJjF2WeyG4-zjvju9eZ_cmIa_UWJ2n9wU1Xy3QQClbpsWHPQaTpHO3GELIyqAoiMOKgtSpPrwJEXgoYuSnbSbXgR9-P4V8jUJpySfvW8lUeoJSbZeEVRSXUJ3HQFg/he_0zM_hTLrn33vu9l2CDU3ZmB1zifub1EVRCEWU07Q),Bottom,Checked Tan,Brown,False,All Season,Fitted ,"Classic,Chic,Preppy","Rectangle,Hourglass","Business Casual,Business Formal",Statement
B029,Cigarette Pants,B029.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/1rJznAxMe1Qb0D_cODbf7Q/QDnKrAx6XmP8NOiewFE99LFusB30P0snxsun2PuAv5yjTqkqkm08NesS8AjXhPJm1L_QkWaTuxFZ8B1x4yPPvOfYxra1MwupKj9UnhuZqL_bHraW_YE-IOvG_ToU5gcE6okuVXtvE67ZnumfqLxryg/Otgr6oAi7O5byZqhb7vuQdvmjuma7kjcdv1e7bjYaHY),Bottom,Black,Black,True,All Season,Fitted ,"Classic,Chic,Preppy,Glamorous,Contemporary","Rectangle,Hourglass","Business Casual,Business Formal,Smart Casual,Social/ Trendy",Basics
B030,Baggy Cargo Pants,B030.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/Wki-_Yw68i-qYQBIu4htkQ/sUe5IG3a1BJbM_pP0SLjZ6LAjOAcOewCAiuRR8EbmgcJ0OHKqX6xsINetqrrnOYUnyMOmiXBuKrGplzoi_C9bT9Gb3bNKHjK-MgZMoqD32xd_gcv_rB_jtrUeFoe_HY-8DrIMygNfTQPVLrwZ6bQgA/FZJvSWZm7YxdZhIMkTC7-aQE_PU3zEAU5Xwzw9VNUD4),Bottom,Brown,Brown,True,All Season,Relaxed,"Bohemian,Streetstyle,Contemporary,Edgy","Hourglass,Pear,Rectangle,Inverted Triangle,Apple","Smart Casual,Social/ Trendy,Athleisure,Lounge","Basics,Versitile"
B031,Cargo Pants,B031.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/WHnIKxZxVZLB2g12MY7zrg/P0F1haCcDdGsFF59l_YF9I5AK-4L06c9aH-FbHwsznw5diLk3NlyyoKEtHS62T-OZXAHW7YUDCY9Rqprdw9S5agw7bAw6A9InjoijnWRstbLVFlEMrUEeTU2QzaIqAjcaw0b-XE1OuGbJSvhfYrmIA/Pm1e6KfOAeXQgr9DL8SXoVgiROIgAzVtfOuNWYglVbY),Bottom,Black,Black,True,All Season,Relaxed,"Bohemian,Streetstyle,Contemporary,Edgy","Hourglass,Pear,Rectangle,Inverted Triangle","Lounge,Athleisure,Smart Casual","Basics,Versitile"
B032,Straight Leg Cargo Pants,B032.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/gqxuWO-OFWiYAeigNgzfsA/kt50tNDdkGn2SZoIu1YQDzDhq2hpEr7kA2bKCMissJAtZAz6AeRKs9D6ptI6T79m4qLvWKzDeRt9L1DqqdP_gPIbJHv-ss68ZDn0jp4HmYARxQ4WqRswQ5VlHCxZ2th2pGz3ZlRhXHDXanJEeRo5Dw/e1lw0t5E-S9DkWoJEq0FxDgU3cnneXmYGuet3YszLAI),Bottom,Seaweed,Green,True,All Season,Structured,"Bohemian,Streetstyle,Contemporary,Edgy,Chic,Preppy,Classic","Hourglass,Pear,Rectangle,Apple,Inverted Triangle","Smart Casual,Social/ Trendy,Athleisure,Lounge",Versitile
B033,Camo Parachute Cargo,B033.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/-Ys4Gih2A6BoHXGxxqAA0g/OlWF6WXVB1N7nseh4gKfRZYqMyzZ0Dn56v3H7djLCqO1eXFgQZ0XotFHiNPo23dPz7DLyUTQOM3D-Ij1BLd_l_nnIfHF_2Dn32-IKtc3mtAuCw2S5xap0zRDeuUR1SM1Srf8uMYwCI4l1yFUGVBgvQ/nVNKML4Bnox-XE6zsX19ebjypNbNulyOlCWZAJ5YTw4),Bottom,Camo,Green,False,All Season,Relaxed,"Streetstyle,Bohemian,Edgy,Contemporary","Pear,Rectangle,Inverted Triangle,Apple","Lounge,Athleisure,Social/ Trendy",Statement
B034,Parachute Pants,B034.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/9p6FpOZhp8Ql4WMQDg7x1w/95GUdTf54ioPFCmp59dRqDaMgiDcWkydWby5jL2yfD6q4yHz5VUapX_4rBkeJKjzUoEH2NacNXuQ8qlvcil8lME_lQN5uCQbS4bbDoIiBKFzlAk0sBfZ4mLNgoYeDW8TrQj_ZBbzM9CBlKc8WbgPNQ/wM64JZc6PIoOXlBHGZj0cVdsukSe_XV5ppLjYV0b7Fw),Bottom,Beige,Beige,True,Summer,Relaxed,"Streetstyle,Bohemian,Edgy,Contemporary","Pear,Rectangle,Inverted Triangle,Apple","Lounge,Athleisure,Social/ Trendy",Basics
B035,Chinos,B035.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/VZFC0CB0cw6RCB6KogFXoA/MnlYNGKGMWWFEmsYWB-TJxWfrHRQ6-JwojAkVRjtD4KdgDQF1NOwpOYN5huxD9QgEEZU22bLHdwwcuFYDo3sLx1wlXuiwCkRycmxl6LmT2gpWWf1em0BVqyjHUO4oCw2QN4X-0HLG_OlzX2KWfgdQQ/xdEIbiW3lPg1Yq5G2-pSh8_5L57qwkOtQDwnxka80oQ),Bottom,Beige,Beige,True,All Season,Fitted ,"Classic,Chic,Romantic,Edgy,Preppy,Contemporary,Glamorous","Hourglass,Pear,Rectangle,Apple,Inverted Triangle","Business Casual,Smart Casual,Social/ Trendy",Basics
B036,Chinos,B036.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/2EFn7RfHe8Fu4Amen452Rg/v2QbYM0KRfzYVbbxvYwbjmH72j43sopyUZ3f5ipneTJmiSS5EGJOOGhjW_mrNiu3xr3vSdKT4LU9I6EpVuolhpcORWwNEZSIHHkAroOY-Cibbj5bNc5b4NEJPUFnM7lq0I8xTIy-Y6FVfbd9HwkyMA/_KEg8Q9l4c9gbjy_8wdBJMSS2xXvO58bGqfxmZdYEfk),Bottom,Textured Black,Black,True,All Season,Fitted ,"Classic,Chic,Preppy,Contemporary,Bohemian,Streetstyle","Hourglass,Pear,Rectangle,Apple,Inverted Triangle","Business Casual,Smart Casual,Social/ Trendy",Basics
B037,Leggings,B037.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/0oT_AeRAVCsjss5Gl-2Kyg/1BQukPsuauV2emXGjiuhqGmfOp6N6f5QoHolIDRyFDEgCtb3ccJWaQ_6nqO_rjaHc55_83pKrB0KY3bcJNwo1XxOEASw6ne9Hr0W2rq83D0pOb4vN5MaNiISSTI7AWX0eBR1xo3nWXWFgFXElhwM4w/XNfq1mJE17MdxBZ1g90ZNNdy4_ZPoVnWAT9GArXUuIY),Bottom,Black,Black,True,All Season,Fitted ,"Chic,Romantic,Edgy,Contemporary,Classic,Streetstyle","Rectangle,Hourglass","Lounge,Athleisure",Basics
B038,Flared Yoga Pants,B038.png (https://v5.airtableusercontent.com/v3/u/45/45/1759780800000/sH3KkEbd5Q5sKfv5mqsxjA/ZTiM2c_8BihtN5veFYj_2temNXQ5ufrp9eOOUiFhlEEaD2BLUkkk-fhEwlCDOBQ6hiS1LeG-tX1R_3Sj0ygL7mItw04f7jzsYH4JQFBkt0afe1MjSX14zEC5LhGoH82HMUuvNlyu8OhcEB4uUwUYwQ/TXW0gqg781HdzUQJnsfxjcjBC-aGSreg0B74-CVndK4),Bottom,Baby Pink,Pink,False,All Season,Relaxed,"Classic,Chic,Romantic,Bohemian,Edgy,Preppy,Contemporary","Hourglass,Pear,Inverted Triangle,Apple","Lounge,Athleisure",Basics
